1/5/1989,14.2
2/5/1989,14.6
3/5/1989,11.8
4/5/1989,14.4
5/5/1989,10.4
6/5/1989,10.3
7/5/1989,10.8
8/5/1989,10.5
9/5/1989,9.5
10/5/1989,12.5
11/5/1989,13.7
12/5/1989,12.7
13/5/1989,11.9
14/5/1989,11.4
15/5/1989,9.7
16/5/1989,8.3
17/5/1989,8.1
18/5/1989,11.7
19/5/1989,11.6
20/5/1989,7.4
21/5/1989,5.2
22/5/1989,11
23/5/1989,9.5
24/5/1989,9.2
25/5/1989,10.7
26/5/1989,9
27/5/1989,10.2
28/5/1989,10.3
29/5/1989,12.1
30/5/1989,13.2
31/5/1989,6.6
1/6/1989,2.3
2/6/1989,1.4
3/6/1989,2.1
4/6/1989,6.6
5/6/1989,8.9
6/6/1989,7.8
7/6/1989,9
8/6/1989,10.3
9/6/1989,7.9
10/6/1989,7.2
11/6/1989,8.6
12/6/1989,8.8
13/6/1989,6.2
14/6/1989,9.5
15/6/1989,10.2
16/6/1989,9.7
17/6/1989,11.2
18/6/1989,10.2
19/6/1989,10.1
20/6/1989,8.1
21/6/1989,6.6
22/6/1989,5
23/6/1989,4.7
24/6/1989,5.3
25/6/1989,4.5
26/6/1989,2.3
27/6/1989,1.4
28/6/1989,0.5
29/6/1989,2.4
30/6/1989,8
1/7/1989,6
2/7/1989,7.1
3/7/1989,9.7
4/7/1989,6.9
5/7/1989,5.3
6/7/1989,7
7/7/1989,6.2
8/7/1989,7
9/7/1989,9.7
10/7/1989,8
11/7/1989,8.5
12/7/1989,7.1
13/7/1989,7.5
14/7/1989,3.3
15/7/1989,1.8
16/7/1989,2.6
17/7/1989,5.3
18/7/1989,5.8
19/7/1989,5.8
20/7/1989,7.2
21/7/1989,5.3
22/7/1989,1.6
23/7/1989,3.1
24/7/1989,5.3
25/7/1989,7.7
26/7/1989,4.2
27/7/1989,5.5
28/7/1989,9
29/7/1989,11.2
30/7/1989,8
31/7/1989,7.6
1/8/1989,3.7
2/8/1989,7.5
3/8/1989,8.1
4/8/1989,8.4
5/8/1989,7.1
6/8/1989,7.6
7/8/1989,7.6
8/8/1989,5.6
9/8/1989,7
10/8/1989,10.5
11/8/1989,7.3
12/8/1989,7.8
13/8/1989,5.8
14/8/1989,3.8
15/8/1989,5.8
16/8/1989,6.7
17/8/1989,6.6
18/8/1989,6.6
19/8/1989,9
20/8/1989,8.1
21/8/1989,5.1
22/8/1989,8.6
23/8/1989,7
24/8/1989,5.5
25/8/1989,7.4
26/8/1989,6.2
27/8/1989,4.2
28/8/1989,6.3
29/8/1989,7
30/8/1989,4
31/8/1989,8
1/9/1989,8.8
2/9/1989,8.8
3/9/1989,6.1
4/9/1989,8.6
5/9/1989,8.9
6/9/1989,7.8
7/9/1989,5
8/9/1989,7
9/9/1989,13.3
10/9/1989,7.9
11/9/1989,7.5
12/9/1989,8.3
13/9/1989,7.2
14/9/1989,6.5
15/9/1989,8.9
16/9/1989,7.4
17/9/1989,9.9
18/9/1989,9.3
19/9/1989,10.6
20/9/1989,8.6
21/9/1989,7.2
22/9/1989,12.6
23/9/1989,7.8
24/9/1989,6.3
25/9/1989,9.2
26/9/1989,5.8
27/9/1989,9
28/9/1989,5
29/9/1989,11.9
30/9/1989,13.4
1/10/1989,10.5
2/10/1989,6.2
3/10/1989,5.1
4/10/1989,9.5
5/10/1989,11.7
6/10/1989,9.2
7/10/1989,7.3
8/10/1989,9.7
9/10/1989,9.4
10/10/1989,10
11/10/1989,10.9
12/10/1989,11
13/10/1989,10.9
14/10/1989,8
15/10/1989,11.2
16/10/1989,7.5
17/10/1989,7.2
18/10/1989,13.2
19/10/1989,12.9
20/10/1989,9.4
21/10/1989,10.2
22/10/1989,9.5
23/10/1989,12.4
24/10/1989,10.2
25/10/1989,13.4
26/10/1989,11.6
27/10/1989,8
28/10/1989,9
29/10/1989,9.3
30/10/1989,13.5
31/10/1989,8
1/11/1989,8.1
2/11/1989,10
3/11/1989,8.5
4/11/1989,12.5
5/11/1989,15
6/11/1989,13.3
7/11/1989,11
8/11/1989,11.9
9/11/1989,8.3
10/11/1989,9.7
11/11/1989,11.3
12/11/1989,12.5
13/11/1989,9.4
14/11/1989,11.4
15/11/1989,13.2
16/11/1989,13.8
17/11/1989,16
18/11/1989,10.9
19/11/1989,11.9
20/11/1989,12.4
21/11/1989,13.2
22/11/1989,15.5
23/11/1989,21.6
24/11/1989,14.9
25/11/1989,14.4
26/11/1989,12.9
27/11/1989,13.1
28/11/1989,14
29/11/1989,17.9
30/11/1989,17.7
1/12/1989,16.3
2/12/1989,18.3
3/12/1989,13.7
4/12/1989,13.3
5/12/1989,10.6
6/12/1989,14.1
7/12/1989,16
8/12/1989,16.5
9/12/1989,14.1
10/12/1989,18.7
11/12/1989,16.2
12/12/1989,14.8
13/12/1989,12.6
14/12/1989,10.4
15/12/1989,12.2
16/12/1989,12.6
17/12/1989,12.1
18/12/1989,17.3
19/12/1989,16.4
20/12/1989,12.6
21/12/1989,12.3
22/12/1989,11.8
23/12/1989,12
24/12/1989,12.7
25/12/1989,16.4
26/12/1989,16
27/12/1989,13.3
28/12/1989,11.7
29/12/1989,10.4
30/12/1989,14.4
31/12/1989,12.7
1/1/1990,14.8
2/1/1990,13.3
3/1/1990,15.6
4/1/1990,14.5
5/1/1990,14.3
6/1/1990,15.3
7/1/1990,16.4
8/1/1990,14.8
9/1/1990,17.4
10/1/1990,18.8
11/1/1990,22.1
12/1/1990,19
13/1/1990,15.5
14/1/1990,15.8
15/1/1990,14.7
16/1/1990,10.7
17/1/1990,11.5
18/1/1990,15
19/1/1990,14.5
20/1/1990,14.5
21/1/1990,13.3
22/1/1990,14.3
23/1/1990,14.3
24/1/1990,20.5
25/1/1990,15
26/1/1990,17.1
27/1/1990,16.9
28/1/1990,16.9
29/1/1990,13.6
30/1/1990,16.4
31/1/1990,16.1
1/2/1990,12
2/2/1990,12.2
3/2/1990,14.8
4/2/1990,14.8
5/2/1990,14.4
6/2/1990,12.9
7/2/1990,13.4
8/2/1990,15.9
9/2/1990,16.1
10/2/1990,17.6
11/2/1990,15.6
12/2/1990,15
13/2/1990,13
14/2/1990,14.1
15/2/1990,17.3
16/2/1990,15.7
17/2/1990,18.6
18/2/1990,12.7
19/2/1990,14
20/2/1990,13.7
21/2/1990,16.3
22/2/1990,20
23/2/1990,17
24/2/1990,15.2
25/2/1990,16.5
26/2/1990,16.5
27/2/1990,17.3
28/2/1990,19.1
1/3/1990,19.3
2/3/1990,17.3
3/3/1990,19
4/3/1990,19.8
5/3/1990,19.3
6/3/1990,17.2
7/3/1990,14.2
8/3/1990,10.3
9/3/1990,13
10/3/1990,15.3
11/3/1990,15
12/3/1990,12.1
13/3/1990,9.2
14/3/1990,11
15/3/1990,15
16/3/1990,11.6
17/3/1990,11.6
18/3/1990,15.1
19/3/1990,15
20/3/1990,13.6
21/3/1990,12.5
22/3/1990,14.3
23/3/1990,16
24/3/1990,17.4
25/3/1990,16.9
26/3/1990,18
27/3/1990,20.6
28/3/1990,14.2
29/3/1990,10.9
30/3/1990,11.9
31/3/1990,13.3
1/4/1990,15.3
2/4/1990,14.7
3/4/1990,11
4/4/1990,12.2
5/4/1990,14.2
6/4/1990,17
7/4/1990,15.8
8/4/1990,15.2
9/4/1990,15.1
10/4/1990,14.7
11/4/1990,18.5
12/4/1990,16.4
13/4/1990,18.4
14/4/1990,15.1
15/4/1990,9.9
16/4/1990,10.2
17/4/1990,12.6
18/4/1990,13.2
19/4/1990,11.5
20/4/1990,13.8
21/4/1990,14.5
22/4/1990,14.7
23/4/1990,11.2
24/4/1990,12.7
25/4/1990,13.7
26/4/1990,11.5
27/4/1990,10.4
28/4/1990,8.9
29/4/1990,11.1
30/4/1990,9.5
1/5/1990,13
2/5/1990,13.9
3/5/1990,12.6
4/5/1990,14.3
5/5/1990,16
6/5/1990,13.3
7/5/1990,7
8/5/1990,4.9
9/5/1990,6.9
10/5/1990,13.7
11/5/1990,10.6
12/5/1990,12.3
13/5/1990,11.1
14/5/1990,10.2
15/5/1990,9.5
16/5/1990,8.9
17/5/1990,13.4
18/5/1990,9.1
19/5/1990,9.4
20/5/1990,8.7
21/5/1990,5.8
22/5/1990,4.5
23/5/1990,7.2
24/5/1990,10
25/5/1990,10.5
26/5/1990,10.7
27/5/1990,8.2
28/5/1990,6.1
29/5/1990,4.5
30/5/1990,6.1
31/5/1990,9.8
1/6/1990,9.7
2/6/1990,8.2
3/6/1990,8.4
4/6/1990,8.5
5/6/1990,10.4
6/6/1990,6.8
7/6/1990,6
8/6/1990,6.6
9/6/1990,7.8
10/6/1990,10.3
11/6/1990,7.2
12/6/1990,7.4
13/6/1990,11.4
14/6/1990,5.4
15/6/1990,4.4
16/6/1990,6.4
17/6/1990,9.3
18/6/1990,7.7
19/6/1990,8.1
20/6/1990,8.3
21/6/1990,9.1
22/6/1990,7.7
23/6/1990,10.6
24/6/1990,8.2
25/6/1990,7.9
26/6/1990,5.2
27/6/1990,5.9
28/6/1990,3.7
29/6/1990,5.6
30/6/1990,9.4
1/7/1990,7.4
2/7/1990,7.3
3/7/1990,7.7
4/7/1990,7.7
5/7/1990,9.3
6/7/1990,4.4
7/7/1990,5.7
8/7/1990,10.2
9/7/1990,10.2
10/7/1990,9.3
11/7/1990,5.4
12/7/1990,5
13/7/1990,7.6
14/7/1990,9.6
15/7/1990,10.4
16/7/1990,11.2
17/7/1990,9.1
18/7/1990,11.2
19/7/1990,6.8
20/7/1990,8.3
21/7/1990,9.7
22/7/1990,9.6
23/7/1990,9.8
24/7/1990,10.8
25/7/1990,9.2
26/7/1990,6.5
27/7/1990,8.1
28/7/1990,7.3
29/7/1990,7.9
30/7/1990,6
31/7/1990,5
1/8/1990,6.8
2/8/1990,9.8
3/8/1990,5.7
4/8/1990,8.6
5/8/1990,10.6
6/8/1990,7.8
7/8/1990,7.7
8/8/1990,8.6
9/8/1990,6.5
10/8/1990,6.9
11/8/1990,6.4
12/8/1990,8.5
13/8/1990,7.8
14/8/1990,9.3
15/8/1990,8.4
16/8/1990,7.8
17/8/1990,7.4
18/8/1990,7.7
19/8/1990,8.9
20/8/1990,9.7
21/8/1990,9.9
22/8/1990,6.1
23/8/1990,6.6
24/8/1990,7.6
25/8/1990,7.4
26/8/1990,8
27/8/1990,2.1
28/8/1990,5.9
29/8/1990,11.6
30/8/1990,8.6
31/8/1990,7.9
1/9/1990,6
2/9/1990,9.5
3/9/1990,8.6
4/9/1990,7.6
5/9/1990,10.4
6/9/1990,10.3
7/9/1990,7.5
8/9/1990,3
9/9/1990,5.3
10/9/1990,10.5
11/9/1990,14.6
12/9/1990,12.6
13/9/1990,9.8
14/9/1990,7.2
15/9/1990,10.1
16/9/1990,10.4
17/9/1990,3.7
18/9/1990,7.3
19/9/1990,11.6
20/9/1990,16.3
21/9/1990,9.6
22/9/1990,6.8
23/9/1990,5.2
24/9/1990,10.6
25/9/1990,16.3
26/9/1990,9.8
27/9/1990,4.6
28/9/1990,11.1
29/9/1990,8.7
30/9/1990,10
1/10/1990,11.3
2/10/1990,10.5
3/10/1990,9.9
4/10/1990,11
5/10/1990,14
6/10/1990,9.2
7/10/1990,9.8
8/10/1990,6
9/10/1990,9.8
10/10/1990,9.2
11/10/1990,11.8
12/10/1990,10.3
13/10/1990,7.5
14/10/1990,7.7
15/10/1990,15.8
16/10/1990,14.6
17/10/1990,10.5
18/10/1990,11.3
19/10/1990,10.9
20/10/1990,6.4
21/10/1990,10.9
22/10/1990,9
23/10/1990,10.9
24/10/1990,12.4
25/10/1990,11.6
26/10/1990,13.3
27/10/1990,14.4
28/10/1990,18.4
29/10/1990,13.6
30/10/1990,14.9
31/10/1990,14.8
1/11/1990,15.4
2/11/1990,11.8
3/11/1990,13
4/11/1990,11.1
5/11/1990,12.5
6/11/1990,18.3
7/11/1990,19.2
8/11/1990,15.4
9/11/1990,13.1
10/11/1990,11.5
11/11/1990,8.6
12/11/1990,12.6
13/11/1990,13.8
14/11/1990,14.6
15/11/1990,13.2
16/11/1990,12.3
17/11/1990,8.8
18/11/1990,10.7
19/11/1990,9.9
20/11/1990,8.3
21/11/1990,15
22/11/1990,12.2
23/11/1990,10.5
24/11/1990,11.1
25/11/1990,13
26/11/1990,12.9
27/11/1990,8.8
28/11/1990,14.7
29/11/1990,14.7
30/11/1990,12.7
1/12/1990,13.3
2/12/1990,13.2
3/12/1990,16.2
4/12/1990,17.3
5/12/1990,20.5
6/12/1990,20.2
7/12/1990,19.4
8/12/1990,15.5
9/12/1990,14.1
10/12/1990,11
11/12/1990,11.1
12/12/1990,14
13/12/1990,11.4
14/12/1990,12.5
15/12/1990,13.4
16/12/1990,13.6
17/12/1990,13.9
18/12/1990,17.2
19/12/1990,14.7
20/12/1990,15.4
21/12/1990,13.1
22/12/1990,13.2
23/12/1990,13.9
24/12/1990,10
25/12/1990,12.9
26/12/1990,14.6
27/12/1990,14
28/12/1990,13.6
29/12/1990,13.5
30/12/1990,15.7
31/12/1990,13
